year,month,Yield Amount,temp_min,temp_max
2022,8,145.3,244,289
2022,8,145.3,244,289
2022,8,145.3,244,300
2010,6,150.9,250,300
2020,6,164.3,244,289
2022,8,145.3,244,300
2011,7,181.2,244,300
2021,6,184.1,244,289
2010,6,150.9,244,294
2020,8,164.3,244,300
2020,6,164.3,244,289
2018,7,156.7,244,300
2020,6,164.3,244,300
2022,6,145.3,244,300
2015,6,169.7,244,294
2016,9,213.4,244,294
2020,8,193.6,244,289
2022,7,176.3,244,289
2023,7,199.4,244,294
2020,6,193.6,244,294
2017,8,204.8,256,278
2016,8,137.7,250,256
2022,8,233.3,250,300
2014,9,214.4,256,283
2022,5,233.3,250,278
2022,8,233.3,244,289
2022,8,233.3,244,289
2022,8,233.3,244,300
2010,6,153,250,300
2020,6,201.1,244,289
2022,8,233.3,244,300
2011,7,161.8,244,300
2021,6,206.3,244,289
2010,6,153,244,294
2020,8,201.1,244,300
2020,6,201.1,244,289
2018,7,229.8,244,300
2020,6,201.1,244,300
2022,6,233.3,244,300
2015,6,165.5,244,294
2016,9,137.7,244,294
2020,8,186.9,244,289
2022,7,199.8,244,289
2023,7,221.7,244,294
2020,6,186.9,244,294
2017,8,194.8,256,278
2016,8,202.6,250,256
2022,8,235.3,250,300
2014,9,200.7,256,283
2022,5,235.3,250,278
2022,8,235.3,244,289
2022,8,235.3,244,289
2022,8,235.3,244,300
2010,6,143.1,250,300
2020,6,201.7,244,289
2022,8,235.3,244,300
2011,7,181.2,244,300
2021,6,207.1,244,289
2010,6,143.1,244,294
2020,8,201.7,244,300
2020,6,201.7,244,289
2018,7,208.7,244,300
2020,6,201.7,244,300
2022,6,235.3,244,300
2015,6,147.8,244,294
2016,9,202.6,244,294
2020,8,205.6,244,289
2022,7,197.6,244,289
2023,7,197.3,244,294
2020,6,205.6,244,294
2017,8,239.5,256,278
2016,8,236.8,250,256
2022,8,224,250,300
2014,9,228.7,256,283
2022,5,224,250,278
2022,8,224,244,289
2022,8,224,244,289
2022,8,224,244,300
2010,6,172.6,250,300
2020,6,206.6,244,289
2022,8,224,244,300
2011,7,141.6,244,300
2021,6,226.8,244,289
2010,6,172.6,244,294
2020,8,206.6,244,300
2020,6,206.6,244,289
2018,7,242.8,244,300
2020,6,206.6,244,300
2022,6,224,244,300
2015,6,204.7,244,294
2016,9,236.8,244,294
2020,8,160,244,289
2022,7,208.4,244,289
2023,7,217.8,244,294
2020,6,160,244,294
2017,8,216.7,256,278
2016,8,143.2,250,256
2022,8,225.6,250,300
2014,9,231.2,256,283
2022,5,225.6,250,278
2022,8,225.6,244,289
2022,8,225.6,244,289
2022,8,225.6,244,300
2010,6,158.4,250,300
2020,6,217,244,289
2022,8,225.6,244,300
2011,7,179.4,244,300
2021,6,212.3,244,289
2010,6,158.4,244,294
2020,8,217,244,300
2020,6,217,244,289
2018,7,233.2,244,300
2020,6,217,244,300
2022,6,225.6,244,300
2015,6,182.8,244,294
2016,9,143.2,244,294
2020,8,200.7,244,289
2022,7,184.9,244,289
2023,7,195.3,244,294
2020,6,200.7,244,294
2017,8,165.4,256,278
2016,8,176.2,250,256
2022,8,216.9,250,300
2014,9,187.6,256,283
2022,5,216.9,250,278
2022,8,216.9,244,289
2022,8,216.9,244,289
2022,8,216.9,244,300
2010,6,163.7,250,300
2020,6,200.7,244,289
2022,8,216.9,244,300
2011,7,151.1,244,300
2021,6,220.4,244,289
2010,6,163.7,244,294
2020,8,200.7,244,300
2020,6,200.7,244,289
2018,7,226.5,244,300
2020,6,200.7,244,300
2022,6,216.9,244,300
2015,6,156.1,244,294
2016,9,176.2,244,294
2020,8,190.5,244,289
2022,7,214.7,244,289
2023,7,215.6,244,294
2020,6,190.5,244,294
2017,8,213.9,256,278
2016,8,203.9,250,256
2022,8,167.2,250,300
2014,9,194.6,256,283
2022,5,167.2,250,278
2022,8,167.2,244,289
2022,8,167.2,244,289
2022,8,167.2,244,300
2010,6,160,250,300
2020,6,166.9,244,289
2022,8,167.2,244,300
2011,7,169,244,300
